erp_id,province_code,lat,long,sales
1071,QC,45.5583407,-73.6368367,2.586546407
1092,QC,46.9175469,-71.202382,-1.333753511
1097,QC,45.5385162,-73.5060375,0.345327441
1101,QC,45.4545151,-73.6393327,-0.88605375
5217,QC,45.454472,-73.639542,0.945623326
1104,QC,45.5329753,-73.5846584,-2.920994658
1113,QC,45.537753,-73.553316,0.554734438
1120,QC,45.54966,-73.558365,-1.881030898
1121,QC,45.4949002,-73.5796571,-0.905942679
6692,QC,45.4949606,-73.5797907,1.344916678
1127,QC,45.5339451,-73.5960545,-1.221079209
1156,QC,45.5004298,-73.6317868,0.34691577
1164,QC,46.8396619,-71.2209063,-0.302786387
1169,QC,46.8392538,-71.2825827,-0.183729951
1176,QC,45.5190038,-73.5681311,-1.693863944
1193,QC,48.2477973,-79.0373917,0.31998275
1194,QC,46.9304822,-71.3152547,-0.053400598
1197,QC,45.4758005,-73.4297636,1.263824324
1201,QC,46.8163607,-71.2894152,-1.821423071
1203,QC,45.4932544,-73.6394618,1.074564894
1205,QC,45.500133,-73.5652994,-1.651831725
1209,QC,45.7443982,-73.4538049,-0.876851613
1218,QC,45.5191395,-73.5958717,-0.007461559
1226,QC,46.8257407,-71.2334467,-1.206622055
1230,QC,45.533899,-73.5508902,-2.165082755
5831,QC,45.533899,-73.5508902,-1.4595031
1239,QC,45.5248087,-73.4659162,-0.338886305
1246,QC,45.497349,-73.568896,0.286523508
1272,QC,45.49604,-73.57027,0.606754595
1284,QC,45.5161422,-73.5597293,1.274232084
3326,QC,45.5165703,-73.5591697,-0.459218852
1286,QC,46.8855013,-71.1998508,-0.587294866
1297,QC,46.8899602,-71.2175696,-0.375351905
1298,QC,45.4905307,-73.5860847,0.512819531
1302,QC,46.8135679,-71.20704,-0.268004237
1304,QC,46.8504854,-71.2133507,0.446094491
1310,QC,46.8136708,-71.237315,0.380186093
1312,QC,46.5569382,-72.7468576,0.212646271
1315,QC,46.8787741,-71.2836129,-0.233695042
2551,QC,46.8787741,-71.2836129,0.168731395
1321,QC,45.505953,-73.556097,0.519042037
4040,QC,45.5060225,-73.5559002,0.037804875
5684,QC,45.506171,-73.556449,0.461031947
1324,QC,45.462112,-73.631548,-0.317197215
1326,QC,45.4815938,-73.4530034,1.412038433
1331,QC,46.8828004,-71.2892159,1.228464843
1333,QC,45.4834469,-73.6295274,-0.010441491
1336,QC,45.4879623,-73.6395867,1.237605842
1342,QC,45.5078099,-73.5652013,-0.254927205
3763,QC,45.5078099,-73.5652013,-0.052511261
1345,QC,46.5197223,-72.7460205,1.01910459
1364,QC,45.4996169,-73.5723479,-1.755420583
1378,QC,46.8116371,-71.2935536,0.867119048
1381,QC,45.4766013,-73.6216702,0.08184383
1386,QC,45.5186729,-73.5779496,-0.589949044
5941,QC,45.518539,-73.578104,3.026028749
1390,QC,45.533414,-73.5525451,0.354357347
1391,QC,45.5561588,-73.5851218,-0.724533488
1396,QC,46.8633113,-71.3302766,-0.493475239
